stock,date,open,close,sentiment_score
aapl,2011-05-19,10.2936,10.2483,0.0
aapl,2011-05-21,9.93181,10.0649,0.0
aapl,2011-06-05,10.1754,9.99201,0.0
aapl,2011-06-06,10.4039,10.1724,-0.9998063445091248
aapl,2011-06-11,9.84615,9.82839,-0.9931039214134216
aapl,2011-06-13,9.84615,9.82839,0.0
aapl,2011-06-14,9.93181,10.0048,0.0
aapl,2011-06-21,9.52487,9.78897,0.0
aapl,2011-06-24,9.97627,9.82051,0.0
aapl,2011-07-01,10.1102,10.331,0.0
aapl,2011-07-15,10.8631,10.9825,0.9999823570251464
aapl,2011-07-19,11.3726,11.3402,-0.9999994039535522
aapl,2011-07-20,11.9187,11.6439,0.0
aapl,2011-07-21,11.6468,11.6555,0.0
aapl,2011-07-22,11.6871,11.8348,0.0
aapl,2011-07-25,11.7422,11.9926,0.999996304512024
aapl,2011-08-02,11.9717,11.7048,0.0
aapl,2011-08-04,11.7137,11.3568,0.0
aapl,2011-08-09,10.8878,11.2544,0.0
aapl,2011-08-10,11.1647,10.9449,0.0
aapl,2011-08-12,11.3875,11.3442,0.0
aapl,2011-08-18,11.1548,11.0169,0.9989250302314758
aapl,2011-08-19,10.8858,10.7134,0.0
aapl,2011-08-20,10.9747,10.7262,0.0
aapl,2011-08-23,10.8425,11.2426,0.0
aapl,2011-08-25,10.9854,11.2466,-0.9579214453697203
aapl,2011-08-26,11.1697,11.5432,0.0
aapl,2011-08-29,11.6821,11.7353,-0.9999825954437256
aapl,2011-09-08,11.5075,11.5601,-0.7118057608604431
aapl,2011-09-27,12.3079,12.0153,-0.9992743134498596
aapl,2011-10-04,11.281,11.2091,-0.8157374262809753
aapl,2011-10-05,11.07,11.3835,-0.999984622001648
aapl,2011-10-06,11.2258,11.3568,0.6470122337341309
aapl,2011-10-08,11.4113,11.7019,0.0
aapl,2011-10-13,12.1876,12.2912,0.0
aapl,2011-10-17,12.6832,12.64,0.0
aapl,2011-10-18,12.6881,12.7091,0.9594247043132782
aapl,2011-10-19,12.0823,11.9966,-0.9989502429962158
aapl,2011-10-28,12.1265,12.1857,0.9999568462371826
aapl,2011-12-03,11.8398,11.8261,0.0
aapl,2011-12-06,11.8132,11.765,0.0
aapl,2011-12-09,11.8181,11.8448,0.9740575551986694
aapl,2011-12-16,11.4484,11.4654,-0.9999958276748656
aapl,2011-12-20,11.6604,11.9157,0.0
aapl,2011-12-22,11.9481,11.9946,-0.9999288320541382
aapl,2012-01-10,12.8155,12.7387,-0.7260398268699646
aapl,2012-01-13,12.6311,12.6341,-0.9998478889465332
aapl,2012-01-19,12.9455,12.8715,0.0
aapl,2012-01-20,12.8639,12.649,0.0
aapl,2012-01-22,12.7918,12.6519,0.9999088048934937
aapl,2012-01-25,13.6749,13.4412,0.994017501672109
aapl,2012-01-27,13.3694,13.46,-0.8340366780757904
aapl,2012-02-13,15.0397,15.1255,0.0
aapl,2012-02-14,15.1815,15.3313,0.0
aapl,2012-02-15,15.4752,14.9775,0.0
aapl,2012-02-22,15.4399,15.4389,0.9999816417694092
aapl,2012-02-23,15.5,15.5394,0.0
aapl,2012-02-24,15.6341,15.7228,0.0
aapl,2012-03-07,16.1444,15.97,0.9842045307159424
aapl,2012-03-08,16.0982,16.3099,0.9999998807907104
aapl,2012-03-16,17.5953,17.6216,0.9999998807907104
aapl,2012-03-17,18.0071,18.0888,0.2034631073474884
aapl,2012-03-19,18.0071,18.0888,0.002415537834167425
aapl,2012-03-20,18.0387,18.2357,0.0
aapl,2012-03-28,18.6091,18.5865,0.0
aapl,2012-03-29,18.4418,18.353,0.0
aapl,2012-03-30,18.3204,18.0416,0.0
aapl,2012-04-04,18.7885,18.7875,0.0
aapl,2012-04-06,18.8427,19.1464,0.0
aapl,2012-04-18,18.4683,18.3077,0.5586569309234619
aapl,2012-04-19,18.0621,17.6788,-0.999990701675415
aapl,2012-04-24,16.9322,16.8601,0.0
aapl,2012-04-25,18.5263,18.357,0.771694540977478
aapl,2012-04-28,17.9913,17.5735,0.998229444026947
aapl,2012-04-30,17.9913,17.5735,0.0
aapl,2012-05-09,16.9642,17.129,0.0
aapl,2012-05-21,16.0844,16.8913,0.0
aapl,2012-05-30,17.129,17.4287,0.0
aapl,2012-06-08,17.2029,17.463,0.0
aapl,2012-06-11,17.6867,17.1892,0.0
aapl,2012-06-12,17.2877,17.3389,0.0
aapl,2012-06-23,17.3724,17.1762,0.0
aapl,2012-06-27,17.3045,17.2887,0.0
aapl,2012-07-07,18.214,18.4733,0.9909364581108092
aapl,2012-07-15,18.3827,18.2652,0.9897263646125792
aapl,2012-07-21,17.8869,18.1716,0.0
aapl,2012-07-23,17.8869,18.1716,0.0
aapl,2012-07-24,18.2781,18.0839,-0.9997681975364684
aapl,2012-07-25,17.2877,17.3035,-0.9998332858085632
aapl,2012-07-26,17.4464,17.3005,0.9999998807907104
aapl,2012-08-20,19.645,20.1014,0.9648155570030212
aapl,2012-08-21,20.2747,19.8282,0.9999991655349731
aapl,2012-08-22,19.7801,20.2146,0.992451012134552
aapl,2012-08-24,19.9328,20.043,0.9996119141578674
aapl,2012-08-25,20.5497,20.4234,0.0
aapl,2012-08-27,20.5497,20.4234,0.0
aapl,2012-08-28,20.4017,20.3959,0.0
aapl,2012-08-29,20.4105,20.3554,0.00044551491737371274
aapl,2012-08-30,20.2697,20.0628,0.0
aapl,2012-09-07,20.4924,20.5644,0.0
aapl,2012-09-12,20.1535,20.2432,0.0
aapl,2012-09-13,20.4738,20.6393,1.0
aapl,2012-09-20,21.1311,21.1183,0.0
aapl,2012-09-22,20.7577,20.8788,0.9985126852989196
aapl,2012-09-25,20.8009,20.3584,-0.9999439716339112
aapl,2012-09-29,20.2846,19.9289,-0.9973779916763306
aapl,2012-10-11,19.5375,18.9827,-0.9033408164978028
aapl,2012-10-23,19.0714,18.5372,0.0
aapl,2012-10-26,18.4189,18.2544,-0.9999997615814208
aapl,2012-11-02,18.0101,17.4316,0.0
aapl,2012-11-22,17.2207,17.3508,0.0
