,time,headline,stock
0,3/6/2025 12:12:03 PM,Delta Air Lines selects Hughes Multi-Orbit In-Flight Connectivity Solution,dal
1,3/4/2025 4:59:03 PM,"AAL, DAL, UAL: Airline Stocks Crash on Fears U.S. Economy Is Slowing Down",dal
2,3/4/2025 4:04:14 PM,Trump tariffs lead to sweeping losses with travel and leisure stocks,dal
3,3/3/2025 2:18:04 PM,No LUV-ing for Southwest Airlines Stock at JPMorgan,dal
4,2/28/2025 7:54:44 PM,American Airlines (AAL) Trials Free Inflight WiFi to Lure Travelers,dal
5,2/26/2025 2:25:49 PM,Delta Air Lines price target raised to $80 from $75 at Redburn Atlantic,dal
6,2/25/2025 7:45:55 PM,Delta Air Lines call volume above normal and directionally bullish,dal
7,2/25/2025 5:12:23 PM,"Home Depot reports Q4 beat, Zoom gives lower-than-expected outlook: Morning Buzz",dal
8,2/25/2025 11:12:05 AM,"Delta flight forced to return to Atlanta airport due to ‘haze,’ NY Times reports",dal
9,2/21/2025 5:55:09 PM,Delta Air Lines put volume heavy and directionally bearish,dal
10,2/21/2025 1:29:38 PM,"Dividend Roundup: Delta Air Lines, Goldman Sachs, Occidental Petroleum, Nucor, and more",dal
11,2/21/2025 7:37:49 AM,Federal Contractor Citigroup (C) Rolls Back DEI Initiatives,dal
12,2/20/2025 5:36:52 PM,"Delta Air Lines Offers $30K to Crash Victims, No Strings Attached",dal
13,2/20/2025 5:00:37 PM,"Walmart reports Q4 beat, Salesforce in cloud talks with Microsoft: Morning Buzz",dal
14,2/20/2025 4:41:09 PM,Delta Air Lines put volume heavy and directionally bearish,dal
15,2/20/2025 11:26:45 AM,"Delta offering $30K to each passenger on jet that flipped in Toronto, WaPo says",dal
16,2/19/2025 4:59:57 AM,"DAL, UAL, or LUV: Which Airline Stock Is Wall Street’s Best Pick?",dal
17,2/18/2025 9:00:23 PM,Delta Air Lines put volume heavy and directionally bearish,dal
18,2/18/2025 5:03:09 PM,"Delta flight crashes in Toronto, Southwest cuts corporate roles: Morning Buzz",dal
19,2/18/2025 2:57:53 PM,"Biggest stock movers Tuesday: INTC, DAL, STZ, HEES, and more",dal
20,2/17/2025 9:40:37 PM,Delta airplane crashes at Toronto Airport injuring at least 15,dal
21,2/17/2025 9:30:07 PM,Delta Air Lines (DAL) Plane Crashes at Toronto International Airport,dal
22,2/17/2025 4:20:11 PM,Billionaire Investor Stanley Druckenmiller Dumps Entire Stake in Broadcom (AVGO),dal
23,2/14/2025 12:08:26 PM,"3 Best Value Stocks to Buy Now, 2/14/2025, According to Analysts ",dal
24,2/13/2025 11:03:05 AM,Insider Trading: Delta Air Lines’ (DAL) Key Executive Offloads Stock Worth $2.47M,dal
25,2/12/2025 3:20:52 PM,Lyft price target lowered to $15 from $18 at BMO Capital,dal
26,2/11/2025 10:20:07 PM,Delta Air Lines files to sell 9.22M shares of common stock for holders,dal
27,2/6/2025 9:51:14 PM,Delta Air Lines declares $0.15 dividend,dal
28,2/3/2025 8:00:50 PM,"Delta debuts new experiences with DraftKings, YouTube, more access in 2025",dal
29,1/24/2025 1:24:01 PM,Airlines are flying high with record earnings as they bounce back from the pandemic,dal
30,1/23/2025 1:30:20 PM,American Airlines' outlook overshadows upbeat Q4 results,dal
31,1/22/2025 6:15:11 PM,"Delta cancels flights as many Gulf Coast, Southeast airports remain closed",dal
32,1/22/2025 4:16:49 PM,Lower yields and a weaker dollar make up attractive industrials – Evercore ISI,dal
33,1/21/2025 11:15:26 PM,TD Cowen Keeps Their Buy Rating on Delta Air Lines (DAL),dal
34,1/21/2025 1:00:12 PM,Delta Air Lines put buyer realizes 14% same-day gains,dal
35,1/19/2025 1:12:00 PM,"Earnings week ahead: JNJ, NFLX, AAL, UAL, AXP, ABT, VZ, PG, and more",dal
36,1/17/2025 11:15:09 AM,American Airlines upgraded to Neutral at BofA amid return of corporate travel,dal
37,1/13/2025 2:05:47 PM,Goldman Sachs Remains a Buy on Delta Air Lines (DAL),dal
38,1/13/2025 1:36:02 PM,Evercore ISI Reaffirms Their Buy Rating on Delta Air Lines (DAL),dal
39,1/13/2025 1:05:37 PM,Delta Air Lines’ Promising Outlook Supported by Strong Sales Growth and Cost Management,dal
40,1/13/2025 12:50:15 PM,Delta Air Lines price target raised to $90 from $78 at TD Cowen,dal
41,1/13/2025 12:26:20 PM,Delta Air Lines price target raised to $80 from $75 at Susquehanna,dal
42,1/13/2025 12:20:08 PM,United Airlines price target raised to $120 from $100 at BofA,dal
43,1/13/2025 12:16:35 PM,Delta Air Lines price target raised to $78 from $72 at BofA,dal
44,1/13/2025 11:55:06 AM,Delta Air Lines (DAL) Gets a Buy from TD Cowen,dal
45,1/13/2025 11:45:35 AM,Delta Air Lines: Strong Revenue Performance and Strategic Financial Management Justify Buy Rating,dal
46,1/13/2025 10:10:32 AM,Delta Air Lines price target raised to $82 from $80 at Deutsche Bank,dal
47,1/13/2025 6:57:16 AM,Delta Air Lines: Strategic Premiumization and Operational Reliability Drive Positive Outlook,dal
48,1/11/2025 5:03:59 PM,Trending stocks amid jittery week for Wall Street,dal
49,1/11/2025 3:40:33 PM,Analysts Offer Insights on Industrial Goods Companies: Stanley Black & Decker (SWK) and Delta Air Lines (DAL),dal
50,1/11/2025 3:40:01 PM,Barclays Keeps Their Buy Rating on Delta Air Lines (DAL),dal
51,1/11/2025 3:35:22 PM,Delta Air Lines: Strong Performance and Positive Outlook Drive Buy Rating,dal
52,1/11/2025 3:26:36 PM,Delta Air Lines: Strong Financial Performance and Upward Guidance Justify Buy Rating,dal
53,1/11/2025 3:51:58 AM,Delta Air Lines Reports Record 2024 Financial Results,dal
54,1/10/2025 6:02:02 PM,Delta soars to 52-week high despite operational issues in snowy Atlanta,dal
55,1/10/2025 5:01:21 PM,"Venu Sports JV discontinued, Walgreens reports Q1 beat: Morning Buzz",dal
56,1/10/2025 3:25:19 PM,"Delta Air Lines sees FY25 EPS greater than $7.35, consensus $7.44",dal
57,1/10/2025 3:20:56 PM,Delta Air Lines says ‘confident’ in ability to drive margin improvement in 2025,dal
58,1/10/2025 3:15:36 PM,Delta says positioned to deliver another year of ‘industry-leading’ performance,dal
59,1/10/2025 3:00:46 PM,Delta Air Lines rises 11.6%,dal
60,1/10/2025 2:55:17 PM,Early notable gainers among liquid option names on January 10th,dal
61,1/10/2025 2:38:40 PM,"Biggest stock movers Friday: TLRY, DAL, MVST, and more",dal
62,1/10/2025 2:25:26 PM,Argus reveals top stock picks for 2025,dal
63,1/10/2025 2:06:08 PM,Morning Movers: Constellation Energy climbs following deal to buy Calpine,dal
64,1/10/2025 1:19:54 PM,"4 stocks to watch on Friday: DAL, WBA and more",dal
65,1/10/2025 12:18:01 PM,TD Securities Remains a Buy on Delta Air Lines (DAL),dal
66,1/10/2025 12:03:07 PM,Delta Air Lines in charts: Q4 revenue beats cost pressures,dal
67,1/10/2025 11:55:32 AM,"Delta Air Lines sees Q1 EPS 70c-$1.00, consensus 77c",dal
68,1/10/2025 11:51:16 AM,"Delta Air Lines reports Q4 EPS $1.85, consensus $1.74",dal
69,1/10/2025 11:50:19 AM,Delta Air Lines sees FY25 EPS up greater than 10%,dal
70,1/10/2025 11:48:04 AM,"Earnings Snapshot: Delta Air Lines tops Q4 profit estimates, issues outlook",dal
71,1/10/2025 11:32:34 AM,"Delta Air Lines Non-GAAP EPS of $1.85 beats by $0.11, revenue of $15.56B beats by $1.08B",dal
72,1/9/2025 11:00:07 PM,Here's the major earnings before the open tomorrow,dal
73,1/9/2025 3:04:13 PM,Delta Air Lines Q4 earnings: Eyes on impact of holiday season,dal
74,1/8/2025 7:45:26 PM,"Delta announces new partnerships with Uber and YouTube, advancements with Joby",dal
75,1/7/2025 11:45:28 AM,Delta Air Lines price target lowered to $75 from $77 at Bernstein,dal
76,1/7/2025 8:26:49 AM,Bernstein Reaffirms Their Buy Rating on Delta Air Lines (DAL),dal
77,1/6/2025 9:03:24 PM,Delta Air Lines snapped six-straight sessions of losses,dal
78,1/6/2025 1:18:26 PM,Delta Air Lines (DAL) Receives a Buy from Morgan Stanley,dal
79,1/6/2025 1:07:38 PM,Jefferies Remains a Buy on Delta Air Lines (DAL),dal
80,1/6/2025 11:05:51 AM,Delta Air Lines Receives Buy Rating on Strong EPS Projections and Revenue Growth,dal
81,1/5/2025 9:25:06 AM,Goldman Sachs Sticks to Their Buy Rating for Delta Air Lines (DAL),dal
82,1/3/2025 8:00:09 PM,"Catalyst Watch: CES, M&A votes and the Supreme Court tackles the TikTok case",dal
83,12/30/2024 5:00:35 PM,"Boeing slips after Jeju Air crash, HashiCorp-IBM draws review: Morning Buzz",dal
84,12/30/2024 10:55:44 AM,Raymond James Sticks to Its Buy Rating for Delta Air Lines (DAL),dal
85,12/27/2024 4:55:30 PM,Netflix draws big viewership for NFL Christmas games: Morning Buzz,dal
86,12/27/2024 12:20:09 PM,"Stowaway found on Delta Air Lines plane on Christmas Eve, CNN reports",dal
87,12/13/2024 1:48:14 PM,Delta Air Lines Appoints Christophe Beck to Board,dal
88,12/11/2024 7:10:08 PM,Delta Air Lines call volume above normal and directionally bullish,dal
89,12/11/2024 12:15:47 PM,Delta Air Lines price target raised to $80 from $60 at Deutsche Bank,dal
90,12/5/2024 5:21:46 PM,Airline stocks soar on American and Southwest's upbeat forecast for holiday season quarter,dal
91,12/5/2024 11:16:05 AM,"Senators, airline executives argue over checked bags, NY Times reports",dal
92,12/3/2024 8:45:09 PM,S&P upgrades Delta Air Lines to ‘BBB-‘ with stable outlook,dal
93,11/29/2024 2:25:04 AM,Jefferies aerospace & defense analysts hold analyst/industry conference call,dal
94,11/28/2024 11:07:48 AM,TipRanks’ Perfect 10 Picks: 2 Top-Scoring Stocks to Watch as 2024 Wraps Up,dal
