Date,Open,High,Low,Close,Volume
2002-01-02,4502.59,4549.25,4398.39,4504.12,396852
2002-01-03,4518.15,4779.45,4513.47,4771.65,705157
2002-01-04,4880.53,5000.28,4843.19,4961.42,894634
2002-01-07,4961.42,5045.39,4897.65,4981.62,575531
2002-01-08,5034.51,5078.03,4885.17,4910.07,852723
2002-01-09,4878.97,4934.94,4735.89,4776.32,446642
2002-01-10,4812.1,4885.17,4776.32,4824.52,330468
2002-01-11,4810.55,4818.32,4585.02,4611.45,433986
2002-01-14,4574.13,4600.55,4418.61,4440.36,411648
2002-01-15,4533.7,4693.87,4525.92,4678.33,381550
2002-01-16,4678.33,4731.2,4557.04,4580.36,382957
2002-01-17,4549.25,4578.83,4438.8,4479.25,449454
2002-01-18,4455.92,4661.23,4455.92,4620.77,440960
2002-01-22,4631.67,4697.01,4496.38,4647.2,583747
2002-01-23,4609.89,4794.98,4532.12,4754.52,470216
2002-01-24,4754.52,4964.5,4754.52,4938.09,519782
2002-01-25,4891.41,4956.73,4833.87,4934.94,260088
2002-01-28,4980.07,5003.4,4938.09,4983.17,225600
2002-01-29,5029.81,5054.71,4835.42,4877.39,255305
2002-01-30,4916.3,4959.85,4656.56,4868.07,413560
2002-01-31,4934.94,4952.07,4824.52,4872.77,236010
2002-02-01,4864.96,4942.73,4794.98,4827.65,297612
2002-02-04,4827.65,4875.85,4648.77,4678.33,259357
2002-02-05,4698.56,4938.09,4655,4913.17,536715
2002-02-06,4913.17,4969.17,4706.34,4726.56,508188
2002-02-07,4791.87,4875.85,4711.01,4784.11,436743
2002-02-08,4785.68,4914.75,4785.68,4886.74,423636
2002-02-11,4784.11,5090.47,4784.11,4992.49,365853
2002-02-12,4990.94,5242.88,4950.49,5176.01,526870
2002-02-13,5193.13,5247.55,5015.82,5026.71,427909
2002-02-14,5026.71,5084.25,4997.16,5060.94,401353
2002-02-15,5092.03,5123.16,5012.71,5014.27,331423
2002-02-19,5029.81,5115.37,4983.17,5034.51,263350
2002-02-20,5036.05,5144.92,5036.05,5130.91,293163
2002-02-21,5205.57,5305.13,5123.16,5176.01,462564
2002-02-22,5098.25,5146.47,5037.6,5057.81,330017
